བོད་ཕྱི་ནང་།,Tibetan Title,BO,EN,English Title,Author,Translator,བརྗོད་བྱ།,བསྒྱུར་གཞི།,དཔེ་སྐྲུན་ཁང་།,དཔར་ལོ།,ཤོག་གྲངས།,BDRC བརྩམས་ཆོས།,Translation Segment pairs
,བདུད་རྩི་སྙིང་པོ་ཡན་ལག་བརྒྱད་པ་གསང་བ་མན་ངག་གི་རྒྱུད,BO4623,EN4623,The Ambrosia Heart Tantra,Vairochana,Jampa Kelsang,གསོ་རིག,,,,,bdr:WA3CN1694,519
,"༡ གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པའི་མཆན་འགྲེལ་ནོར་བུའི་ཕྲེང་བ་བཞུགས་སོ།
༢ འདུལ་བ་རྒྱ་མཚོའི་སྙིང་པོ་བསྡུས་པ་སོགས།",BO4620,EN4620,Lama Mipam’s Commentary to Nagarjuna’s Stanzas for a Novice Monk & Tsongkhapa’s Essence of the Ocean of Vinaya,Lama Mipam & Je Tsongkhapa,Glenn H.Mullin and Lobsang Rapgay,,,,,,bdr:WA0XLC0C21135,272
,རྒྱལ་སྲས་ལག་ལེན་སོ་བདུན་མ།,BO4637,EN4637,The Thirty-Seven Practices of All Buddha’s Sons,Thogme Zangpo,"Geshe Ngawang Dhargyey, Sharpa Tulku,Khamlung Tulku, Alexander Berzin & Jonathan Landaw",,,,,,bdr:WA3CN15679,49
,ལེགས་བཤད་བློ་གསལ་མིག་འབྱེད།,BO1840,EN1840,Opening the Eye of New Awareness,His Holiness the Dalai Lama,His Holiness the Dalai Lama,,,,,,,631
,རྒྱལ་པོ་ལ་གཏམ་བྱ་བ་རིན་པོ་ཆེའི་ཕྲེང་བ།,BO3708,EN3708,The Precious Garland And The Song Of The Four Mindfulnesses (The Wisdom Of Tibet Series ; 2),"Nagarjuna, VII Dalai Lama",Nāgārjuna,,,,,,bdr:WA0RT3496,401
,འདོད་པའི་བསྟན་བཅོས།,BO2284,EN2284,"The passion book : a Tibetan guide to love & sex / Chopel Gendun ; translated and with an afterword by Donald S. Lopez Jr. and Thupten Jinpa / Chicago (Illinois) : The University of Chicago Press , 2018",http://purl.bdrc.io/resource/P219,"Lopez, Donald S. (1952-....); Thub bstan sbyin pa (19..-.... ; glang ri ba)",,,,,,bdr:WA1KG5251,961
,འཕགས་པ་དྲི་མ་མེད་པར་གྲགས་པས་བསྟན་པ་ཞེས་བྱ་ཐེག་པ་ཆེན་པོའི་མདོ།,BO4446,EN4446,The Holy Teaching of Vimalakirti: A Mahayana Scripture,Vimalakirti བཅོམ་ལྡན་འདས། ,Robert A. F. Thurman,མདོ།,,,,,bdr:WA0RK0176,682
,དོ་ཧ་མཛོད་ཅེས་བྱ་བ་སྤྱོད་པའི་གླུ།,BO1829,EN1829,A SONG FOR THE KING: Saraha on Mahamudra Meditation,Khenchen Thrangu Rinpoche,"Michele Martin, Peter O’hearn",མགུར།,,,,,bdr:WA0RT1109,98
,ཆོས་ལ་འཇུག་པའི་སྒོ་ཞེས་བྱ་བའི་བསྟན་བཅོས།,BO2245,EN2245,"Admission at Dharma's gate / by Sonam Tsemo ; Translated by Christopher Wilkinson / Concord : Suvarna Bhasa Publishing , c. 2014",ས་སྐྱ་བསོད་ནམས་རྩེ་མོ། http://purl.bdrc.io/resource/P1618,"Wilkinson, Christopher (1957-....)",,,,,,bdr:WA0XLC53F485E6,2011
,བྱང་ཆུབ་ལམ་བཟང་བཞུགས་སོ།།,BO3900,EN3900,"The Excellent Path To Enlightenment: The Essential Instruction on the Three Virtues, the Ground, Path and Fruition of Relaxing Within Mind Itself, the Great Completion",Longchen Rabjam,"Khenpo Gawang Rinpoche, Gerry Wiener ",,,,,,bdr:WA8LS31216,1410
